Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
12.5,77974,1.33823465,0,1.395612383,,,,,-0.489575917,1.04635877,,
12.7,75929,1.323345858,0,0,,,,,-0.342703142,0.732451139,,
12.9,73751,1.307329087,-0.247261436,0.977403861,,,,,-0.31407063,0.805936955,,
13,75171,1.317790415,-0.988498516,0.270007993,,,,,-0.516398996,0.645158267,,
13.1,77885,1.337589672,0,1.1854478,,,,,-0.361479297,0.807245127,,
13.3,74781,1.31492427,-0.117046921,1.021493307,,,,,-0.288149584,0.871519581,,
13.4,75981,1.323726238,0,0,,,,,-0.201704709,0.610063707,,
13.6,78347,1.340934817,-0.783567729,0.156151629,,,,,-0.376263615,0.473890083,,
13.8,76892,1.330375016,-0.703554139,0.550619972,,,,,-0.474450772,0.49690905,,
13.9,80951,1.359653728,-0.641158756,0.198532321,,,,,-0.524463167,0.407396031,,
14.1,82250,1.368906427,0.512342755,0.656532521,,,,,-0.213421391,0.482136978,,
14.3,76366,1.326539598,-0.747248251,0.157649966,,,,,-0.373569449,0.384790875,,
14.4,69979,1.279193448,0,0,,,,,-0.261498614,0.269353612,,
14.5,69240,1.273621364,-0.704945497,0.395876547,,,,,-0.394532679,0.307310493,,
14.7,63190,1.227249704,-0.705104088,-0.423477676,,,,,-0.487704102,0.088074042,,
14.8,59669,1.199629253,-0.339176378,0.871231866,,,,,-0.443145785,0.323021389,,
15,58571,1.190918587,0,0,,,,,-0.310202049,0.226114972,,
15.1,53633,1.151160491,0.143396758,1.161932258,,,,,-0.174122407,0.506860158,,
15.3,54546,1.158584215,0,0,,,,,-0.121885685,0.354802111,,
15.4,53559,1.150557327,-1.067908776,0.09493813,,,,,-0.405692612,0.276842916,,
15.5,51289,1.131947771,0.147901333,0.702158168,,,,,-0.239614429,0.404437492,,
15.7,54261,1.156270416,0,0,,,,,-0.1677301,0.283106244,,
15.8,54801,1.160651713,0.495304024,0.750290183,,,,,0.031180137,0.423261426,,
15.9,55708,1.167984585,0,1.020598137,,,,,0.021826096,0.602462439,,
16.1,54914,1.161567071,0,0,,,,,0.015278267,0.421723707,,
16.2,56289,1.172664716,0.172555143,0.591991146,,,,,0.06246133,0.472803939,,
16.3,55167,1.163614661,0.582634051,-0.430456217,,,,,0.218513146,0.201825892,,
16.5,61146,1.211273242,0.447127525,0.240032796,,,,,0.28709746,0.213287963,,
16.6,62695,1.223395205,0.828818792,-1.159319486,,,,,0.44961386,-0.198494271,,
16.8,62204,1.219562683,0.823355972,-0.989173898,,,,,0.561736493,-0.435698159,,
16.9,61677,1.215438968,0.533992074,-1.121291876,,,,,0.553413167,-0.641376274,,
17.1,66078,1.24955463,0.97381625,-0.649773715,,,,,0.679534092,-0.643895507,,
17.2,67352,1.259295504,0.624413739,-1.135198755,,,,,0.662997986,-0.791286481,,
