Time,intensity1,intensity2,intensity3,intensity4,force1,force2,force3,force4
17.7,70420,18073,83394,229511,2.12548152,1.9495956,2.16907416,2.66002728
17.9,77385,30180,83666,236436,2.22348788,2.06487908,2.24459204,2.75789924
18.1,81881,40589,81458,224891,2.24186612,2.103125,2.24044484,2.72237972
18.3,85245,49015,77523,222427,2.2684796,2.1467468,2.24253368,2.72941112
18.5,79546,58233,74723,236737,2.29201332,2.22040164,2.27580804,2.82017508
18.7,72713,57996,66496,232059,2.21232544,2.16287632,2.19143632,2.747728
18.9,49430,46692,49495,229756,1.98104412,1.97184444,1.98126252,2.58693948
19,35486,42589,33811,213488,1.79219512,1.8160612,1.78656712,2.39028184
19.2,20400,30878,18695,187715,1.54927792,1.584484,1.54354912,2.11145632
19.3,18839,28769,17889,186720,1.52849532,1.56186012,1.52530332,2.09257548
19.4,13353,25361,11599,179881,1.44751704,1.48786392,1.4416236,2.00705112
19.6,10711,29761,7249,179791,1.43102304,1.49503104,1.41939072,1.99913184
19.7,11055,42482,6001,194444,1.50735368,1.6129484,1.49037224,2.12354072
19.9,14545,75508,11746,236496,1.758529,1.96336468,1.74912436,2.50428436
20.1,88356,20006,16830,252719,2.1190434,1.8893874,1.87871604,2.67130308
20.3,105937,36423,30603,271990,2.36851484,2.1349478,2.1153926,2.92645292
20.5,121563,56682,41868,279815,2.5771472,2.35914704,2.309372,3.10887392
20.7,70409,126524,51062,280469,2.486312,2.6748584,2.42130608,3.1921136
21,70651,119068,51133,272872,2.44526352,2.60794464,2.37968304,3.12472608
21.2,33428,64130,24062,235998,1.8768532,1.98001192,1.84538344,2.5574884
21.4,21400,45562,14803,211696,1.65423324,1.73541756,1.63206732,2.2936278
21.5,13897,28971,11713,187396,1.4828086,1.53345724,1.47547036,2.06576524
21.6,10389,19194,8058,158608,1.3411542,1.370739,1.33332204,1.83917004
21.7,8412,13331,7024,133732,1.23866148,1.25518932,1.2339978,1.65973668
21.8,5856,8988,5832,116674,1.15865016,1.16917368,1.15856952,1.53099864
21.9,5531,8346,5723,111445,1.13965196,1.14911036,1.14029708,1.495523
22,3223,6358,4488,98916,1.08060668,1.09114028,1.08485708,1.40213516
22.1,3026,6065,3939,95962,1.06860464,1.07881568,1.07167232,1.3808696
